Lnum	basehw	compound	resolution	in_sanhw1
10282	bADa	A-bādha	a-bADa	False
10282	bADa	Para-loka-	para-lokabADa	False
10282	bADa	Prāṇa-bādha	prARa-bADa	False
10282	bADa	Madana-	madanabADa	False
10282	bADa	Sa-	sabADa	True
10286	bAnDava	A-	abAnDava	True
10286	bAnDava	Hata-	hatabAnDava	True
10287	bAla	Dus-	dusbAla	False
10290	bAlaDi	Vakra-	vakrabAlaDi	True
10292	bAliSa	A-	abAliSa	True
10295	bAluka	Tapta-bāluka	tapta-bAluka	False
10295	bAluka	Rakta-bāluka	rakta-bAluka	False
10301	bAhu	Ud-	udbAhu	True
10301	bAhu	Catur-	caturbAhu	True
10301	bAhu	Dīrgha-	dIrGabAhu	True
10301	bAhu	Pṛthu-	pfTubAhu	True
10301	bAhu	Maha-	mahabAhu	False
10301	bAhu	Su-	subAhu	True
10310	bimba	Abhi-arka-bimba + m	aBi-arka-bimba + m	False
10310	bimba	Indu-	indubimba	True
10310	bimba	Nitamba-	nitambabimba	True
10310	bimba	Ratha-aṅga-croni-vimba	raTa-aNga-croni-vimba	False
10310	bimba	Hasta-	hastabimba	True
10311	bimbita	Prati-	pratibimbita	True
10320	bIBatsa	Ati-	atibIBatsa	True
10328	budDi	A-	abudDi	True
10328	budDi	Ati-manuṣya-	ati-manuzyabudDi	False
10328	budDi	Apekṣā-	apekzAbudDi	True
10328	budDi	Kṣudra-	kzudrabudDi	True
10328	budDi	Durb˚	durb˚	False
10328	budDi	Duṣṭa-	duzwabudDi	True
10328	budDi	Droha-	drohabudDi	True
10328	budDi	Dharma-	DarmabudDi	True
10328	budDi	Nirb˚	nirb˚	False
10328	budDi	Pāpa-	pApabudDi	True
10328	budDi	Bheda-	BedabudDi	True
10328	budDi	Manda-	mandabudDi	True
10328	budDi	Su-manda-	su-mandabudDi	False
10328	budDi	Mahā-	mahAbudDi	True
10328	budDi	Vikṛta-	vikftabudDi	True
10328	budDi	Vita-viruddha-	vita-virudDabudDi	False
10328	budDi	Su-	subudDi	True
10332	buD	A-	abuD	True
10333	buDa	A-	abuDa	True
10333	buDa	Durb˚	durb˚	False
10351	boDa	A-	aboDa	True
10351	boDa	Ātmabodha	AtmaboDa	True
10351	boDa	Durb˚	durb˚	False
10351	boDa	Su-	suboDa	True
10363	brahmaRya	A-	abrahmaRya	True
10367	brahman	A-	abrahman	True
10367	brahman	Mahā-	mahAbrahman	True
10367	brahman	Śabda-	Sabdabrahman	True
10367	brahman	Su-	subrahman	True
10377	brAhmaRa	A-	abrAhmaRa	True
10377	brAhmaRa	Go-	gobrAhmaRa	True
10379	brAhmaRya	Sva-brāhmaṇyā	sva-brAhmaRyA	False
10384	Bakta	Eka-	ekaBakta	True
10384	Bakta	Caturtha-	caturTaBakta	True
10386	Bakti	Kṣetra-	kzetraBakti	True
10386	Bakti	Dṛgbhakti	dfgBakti	True
10389	Bakz	A-	aBakz	False
10389	Bakz	Sarva-	sarvaBakz	False
10390	Bakza	Vāyu-	vAyuBakza	True
10390	Bakza	Sarva-	sarvaBakza	True
10392	BakzaRa	Vāyu-	vAyuBakzaRa	True
10394	Baga	Durbh˚	durB˚	False
10394	Baga	Su-	suBaga	True
10400	BaginI	Dharma-	DarmaBaginI	True
10404	BaNga	Asu-	asuBaNga	True
10404	BaNga	Utsāha-	utsAhaBaNga	False
10404	BaNga	Gṛha-	gfhaBaNga	True
10404	BaNga	Daṇḍa-	daRqaBaNga	True
10404	BaNga	Danta-	dantaBaNga	True
10404	BaNga	Durbh˚	durB˚	False
10404	BaNga	Patra-	patraBaNga	True
10404	BaNga	Puṣapa-	puzapaBaNga	False
10404	BaNga	Pṛṣṭha-	pfzWaBaNga	True
10404	BaNga	Pota-	potaBaNga	True
10404	BaNga	Praṇaya-	praRayaBaNga	True
10404	BaNga	Bhrū-	BrUBaNga	True
10404	BaNga	Sa-bhrū-bhaṅga + m	sa-BrU-BaNga + m	False
10404	BaNga	Sāra-	sAraBaNga	True
10404	BaNga	Hitā-	hitABaNga	True
10405	BaNgi	Patra-	patraBaNgi	True
10407	BaNgura	A-	aBaNgura	True
10409	Baj	Eka-	ekaBaj	False
10409	Baj	Sūrya-	sUryaBaj	False
10414	Bawa	Cāra-	cAraBawa	True
10414	Bawa	Bhū-	BUBawa	True
10414	Bawa	Mahā-	mahABawa	True
10414	Bawa	Vār-	vArBawa	True
10414	Bawa	Su-	suBawa	True
10414	Bawa	Sva-	svaBawa	True
10415	Bawwa	Su-	suBawwa	True
10423	BaRqi	Tri-bhaṇḍī̆	tri-BaRqĬ	False
10427	Badra	A-	aBadra	True
10427	Badra	Catur-	caturBadra	True
10427	Badra	Tuṅga-	tuNgaBadra	True
10427	Badra	Bala-	balaBadra	True
10427	Badra	Maṇi-	maRiBadra	True
10427	Badra	Sarvatobh˚	sarvatoB˚	False
10427	Badra	Rāma-	rAmaBadra	True
10427	Badra	Su-	suBadra	True
10431	Baya	A-	aBaya	True
10431	Baya	Akutobhaya	akutoBaya	True
10431	Baya	A-jātu-	a-jAtuBaya	False
10431	Baya	Apa-	apaBaya	True
10431	Baya	Nirbh˚	nirB˚	False
10431	Baya	Bhaṅga-	BaNgaBaya	False
10431	Baya	Vīta-	vItaBaya	True
10431	Baya	Sa-	saBaya	True
10435	Bara	Ati-	atiBara	True
10435	Bara	Apa-hṛta-	apa-hftaBara	False
10435	Bara	Durbh˚	durB˚	False
10435	Bara	Nirbh˚	nirB˚	False
10435	Bara	Su-	suBara	True
10450	Bartf	Kanyā-	kanyABartf	True
10450	Bartf	Gaṇa-	gaRaBartf	True
10450	Bartf	Jagatī-, bhū-, mahī-	jagatI-, BU-, mahIBartf	False
10450	Bartf	Paśu-	paSuBartf	True
10450	Bartf	Ruci-	ruciBartf	True
10450	Bartf	Svarga-	svargaBartf	True
10459	Barman	Garbha-	garBaBarman	True
10466	Bava	A-	aBava	True
10466	Bava	Araṇya-	araRyaBava	True
10466	Bava	Ātmabhava	AtmaBava	True
10466	Bava	Ādi-	AdiBava	True
10466	Bava	Durvāgbh˚	durvAgB˚	False
10466	Bava	Punarbh˚	punarB˚	False
10466	Bava	Maghā-	maGABava	True
10468	Bavana	Garbha-	garBaBavana	True
10468	Bavana	Deva-	devaBavana	True
10468	Bavana	Devī-	devIBavana	True
10469	Bavant	Atra-	atraBavant	True
10469	Bavant	Tatra-	tatraBavant	True
10476	Bavizya	Yad-	yadBavizya	True
10491	BA	Tatpr˚	tatpr˚	False
10491	BA	Su-	suBA	True
10493	BAga	A-	aBAga	True
10493	BAga	Agra-	agraBAga	True
10493	BAga	Adhobh˚	aDoB˚	False
10493	BAga	Ardha-	arDaBAga	True
10493	BAga	Aśīti-	aSItiBAga	True
10493	BAga	Catur-	caturBAga	True
10493	BAga	Tri-	triBAga	True
10493	BAga	Dāya-	dAyaBAga	True
10493	BAga	Digbh˚	digB˚	False
10493	BAga	Nimna-	nimnaBAga	True
10493	BAga	Para-	paraBAga	True
10493	BAga	Pāda-	pAdaBAga	True
10493	BAga	Purobhāga	puroBAga	True
10493	BAga	Mahā-	mahABAga	True
10493	BAga	Yajña-	yajYaBAga	True
10493	BAga	Śeṣa-	SezaBAga	True
10493	BAga	Ṣaḍbhāga	zaqBAga	True
10496	BAgin	Duḥkha-	duHKaBAgin	True
10496	BAgin	Dharma-	DarmaBAgin	True
10496	BAgin	Purobhāgin	puroBAgin	True
10496	BAgin	Manda-	mandaBAgin	True
10499	BAgya	A-	aBAgya	True
10499	BAgya	Para-	paraBAgya	True
10499	BAgya	Manda-	mandaBAgya	True
10499	BAgya	Mahā-	mahABAgya	True
10505	BAjana	Dīpa-	dIpaBAjana	True
10509	BARqa	Kṣura-	kzuraBARqa	True
10509	BARqa	Bhinna-	BinnaBARqa	True
10509	BARqa	Mahā-	mahABARqa	True
10509	BARqa	Sāra-	sAraBARqa	True
10519	BAnu	Citra-	citraBAnu	True
10519	BAnu	Vṛhad-bhānu	vfhad-BAnu	False
10519	BAnu	Svar-	svarBAnu	True
10524	BAra	Ati-	atiBAra	True
10524	BAra	Kāṣṭha-	kAzWaBAra	True
10524	BAra	Garbha-	garBaBAra	True
10536	BAryA	Ku-	kuBAryA	True
10536	BAryA	Sa-bhārya	sa-BArya	False
10542	BAva	A-	aBAva	True
10542	BAva	A-badhya-	a-baDyaBAva	False
10542	BAva	Ādhāra-ā-dheya-	ADAra-A-DeyaBAva	False
10542	BAva	Ārya-	AryaBAva	True
10542	BAva	Eka-	ekaBAva	True
10542	BAva	Kanyā-	kanyABAva	True
10542	BAva	Kṛta-	kftaBAva	True
10542	BAva	Tanu-	tanuBAva	True
10542	BAva	Dāsa-	dAsaBAva	True
10542	BAva	Durnīta-	durnItaBAva	True
10542	BAva	Dūra-	dUraBAva	True
10542	BAva	Droha-	drohaBAva	True
10542	BAva	Dvandva-	dvandvaBAva	False
10542	BAva	Punar-	punarBAva	True
10542	BAva	Pṛthagbhāva	pfTagBAva	True
10542	BAva	Prāpta-	prAptaBAva	True
10542	BAva	Bāla-	bAlaBAva	True
10542	BAva	Sadbhāva	sadBAva	True
10542	BAva	Sarva-	sarvaBAva	True
10542	BAva	Sādhu-	sADuBAva	True
10542	BAva	Sva-	svaBAva	True
10542	BAva	Strī-sva-	strI-svaBAva	False
10542	BAva	Sthāyigh˚	sTAyiG˚	False
10546	BAvana	Nyagbhāvana	nyagBAvana	True
10546	BAvana	Viśeṣa-	viSezaBAvana	False
10548	BAvin	Avaśyabh˚	avaSyaB˚	False
10548	BAvin	Tathā-	taTABAvin	True
10548	BAvin	Punar-	punarBAvin	True
10550	BAz	Su-	suBAz	False
10552	BAzA	Deśa-bhāṣā	deSa-BAzA	False
10552	BAzA	Vi-bhāṣā	vi-BAzA	False
10553	BAzin	Dus-	dusBAzin	False
10553	BAzin	Pūrva-	pUrvaBAzin	True
10553	BAzin	Mṛdu-	mfduBAzin	True
10555	BAs	A-cira-	a-ciraBAs	False
10555	BAs	Śaśāṅka-	SaSANkaBAs	True
10556	BAsa	Padma-	padmaBAsa	True
10556	BAsa	Pūṣabhāsā	pUzaBAsA	True
10569	BikzA	Durbhikṣa	durBikza	True
10569	BikzA	Subhikṣa	suBikza	True
10571	Bikzu	Śveta-	SvetaBikzu	True
10572	Bikzuka	Dharma-	DarmaBikzuka	True
10572	Bikzuka	Śākya-	SAkyaBikzuka	True
10575	Bitti	Sudhā-	suDABitti	True
10577	Bid	A-	aBid	True
10578	Bid	Yamunā-	yamunABid	True
10592	BI	A-	aBI	True
10592	BI	Divā-	divABI	False
10592	BI	Mahā-	mahABI	False
10592	BI	Su-	suBI	False
10593	BI	A-	aBI	True
10594	BIti	Divā-	divABIti	True
10595	BIma	Mahā-	mahABIma	True
10597	BIru	A-	aBIru	True
10597	BIru	Adhyavasāya-	aDyavasAyaBIru	True
10603	BIzaRa	Ati-	atiBIzaRa	True
10605	BIzma	Mahā-	mahABIzma	True
10608	Buj	Ā-	ABuj	True
10609	Buj	Ku-	kuBuj	False
10611	Buja	Ūrmi-	UrmiBuja	False
10611	Buja	Catur-	caturBuja	True
10611	Buja	Mahā-	mahABuja	True
10624	Buvana	Tri-	triBuvana	True
10630	BU	Ātmabhūta	AtmaBUta	True
10630	BU	Ittham-	itTamBU	False
10630	BU	Evam-	evamBU	False
10630	BU	Tīrtha-	tIrTaBU	False
10630	BU	Divā-	divABU	False
10630	BU	Mahā-	mahABU	False
10630	BU	Vahirbhūta	vahirBUta	True
10630	BU	Sadbh˚	sadB˚	False
10631	BU	Pāna-	pAnaBU	True
10631	BU	Malla-	mallaBU	True
10631	BU	Paricita-	paricitaBU	True
10637	BUti	Raṅga-	raNgaBUti	True
10637	BUti	Viyadbh˚	viyadB˚	False
10643	BUBft	Kula-	kulaBUBft	True
10646	BUmi	A-	aBUmi	True
10646	BUmi	Ati-	atiBUmi	True
10646	BUmi	Antar-	antarBUmi	True
10646	BUmi	Karma(n)-	karma(n)BUmi	False
10646	BUmi	Janma(n)-	janma(n)BUmi	False
10646	BUmi	Pana-	panaBUmi	False
10646	BUmi	Malla-	mallaBUmi	True
10646	BUmi	Badhya-	baDyaBUmi	True
10646	BUmi	Raṅga-	raNgaBUmi	True
10646	BUmi	Vāsa-	vAsaBUmi	True
10646	BUmi	Viśvāsa-	viSvAsaBUmi	True
10646	BUmi	Saṃketa-	saMketaBUmi	True
10646	BUmi	Sthāna-	sTAnaBUmi	True
10646	BUmi	Snca-	sncaBUmi	False
10646	BUmi	Siddha-	sidDaBUmi	True
10647	BUmikA	Catur-bhūmika	catur-BUmika	False
10647	BUmikA	Sapta(n)-	sapta(n)BUmikA	False
10651	BUya	Brahma(n)-	brahma(n)BUya	False
10651	BUya	Rāja(n)-	rAja(n)BUya	False
10660	BUzaRa	Para-	paraBUzaRa	True
10664	Bf	A-	aBf	False
10664	Bf	Kṣīra-	kzIraBf	False
10664	Bf	Bhṛtya	Bftya	True
10664	Bf	A-	aBf	False
10664	Bf	Su-	suBf	False
10677	Bftaka	Madhyama-	maDyamaBftaka	True
10678	Bfti	Piṇḍa-	piRqaBfti	True
10678	Bfti	Sudhā-	suDABfti	True
10678	Bfti	Hala-	halaBfti	True
10679	Bftya	Ku-	kuBftya	True
10679	Bftya	Kumāra-bhṛtyā	kumAra-BftyA	False
10679	Bftya	Protkaṭa-	protkawaBftya	True
10679	Bftya	Mūla-	mUlaBftya	True
10683	BfSa	Su-	suBfSa	True
10685	Bfzwi	Sahasra-	sahasraBfzwi	True
10690	Beda	A-	aBeda	True
10690	Beda	Anyonya-	anyonyaBeda	True
10690	Beda	Gati-	gatiBeda	True
10690	Beda	Granthi-	granTiBeda	True
10690	Beda	Durbh˚	durB˚	False
10690	Beda	Svara-	svaraBeda	True
10691	Bedaka	Gaṇḍa-	gaRqaBedaka	False
10693	Bedana	Puṭa-	puwaBedana	True
10694	Bedin	Marma(n)-	marma(n)Bedin	False
10694	Bedin	Vṛkṣa-	vfkzaBedin	True
10710	Boga	Kāma-	kAmaBoga	True
10710	Boga	Nāga-	nAgaBoga	True
10710	Boga	Nirbh˚	nirB˚	False
10715	Bogin	Kṛṣṇa-	kfzRaBogin	True
10717	Bojana	A-	aBojana	True
10717	Bojana	Ati-	atiBojana	True
10717	Bojana	Eka-	ekaBojana	True
10717	Bojana	Kṛmi-	kfmiBojana	True
10717	Bojana	Mleccha-	mlecCaBojana	True
10717	Bojana	Saha-	sahaBojana	True
10719	Bojin	Gṛha-	gfhaBojin	True
10719	Bojin	Bhujaṃga-	BujaMgaBojin	True
10719	Bojin	Śaṣpa-	SazpaBojin	False
10726	BOma	Antar-	antarBOma	True
10726	BOma	Bahu-	bahuBOma	True
10726	BOma	Sapta(n)-	sapta(n)BOma	False
10729	BraMS	Bhaya-	BayaBraMS	False
10730	BraMSa	Jāti-	jAtiBraMSa	True
10731	BraMSin	A-	aBraMSin	True
10736	Brajj	Tila-	tilaBrajj	False
10739	Bram	A-	aBram	True
10739	Bram	A-	aBram	True
10739	Bram	Su-saṃbhrānta	su-saMBrAnta	False
10749	BrAtf	Durbh˚	durB˚	False
10749	BrAtf	Dharma-	DarmaBrAtf	True
10749	BrAtf	Sa-	saBrAtf	True
10765	BrU	A-sita-	a-sitaBrU	False
10765	BrU	Nata-	nataBrU	True
10765	BrU	Sam-hata-	sam-hataBrU	False
10765	BrU	Su-bhrū	su-BrU	False
10788	makzikA	Nirmakṣika	nirmakzika	True
10788	makzikA	Madhu-	maDumakzikA	True
10791	maKa	Sa-	samaKa	False
10804	maNgala	A-	amaNgala	True
10804	maNgala	Kautuka-	kOtukamaNgala	True
10804	maNgala	Pāna-	pAnamaNgala	True
10804	maNgala	Sarva-	sarvamaNgala	True
10804	maNgala	Su-	sumaNgala	True
10813	majjA	Nirmajja	nirmajja	True
10821	maYjari	Kāma-, Madana-	kAma-, madanamaYjari	False
10821	maYjari	Lobha-mañjarī	loBa-maYjarI	False
10831	maWa	Gopāla-, Cakra-, Śūra-	gopAla-, cakra-, SUramaWa	False
10836	maRi	Indu-	indumaRi	True
10836	maRi	Kāca-	kAcamaRi	True
10836	maRi	Cintā-	cintAmaRi	True
10836	maRi	Cūḍā-	cUqAmaRi	True
10836	maRi	Jatu-	jatumaRi	True
10836	maRi	Masi-	masimaRi	True
10836	maRi	Latā-	latAmaRi	True
10836	maRi	Vi-mala-	vi-malamaRi	False
10836	maRi	Śikhā-	SiKAmaRi	True
10836	maRi	Śuci-	SucimaRi	True
10836	maRi	Sarpa-	sarpamaRi	True
10836	maRi	Sita-	sitamaRi	True
10836	maRi	Sūrya-	sUryamaRi	True
10836	maRi	Sparśa-	sparSamaRi	True
10839	maRimaya	Sita-maṇi + maya	sita-maRi + maya	False
10843	maRq	A-	amaRq	False
10844	maRqa	Dadhi-	daDimaRqa	True
10847	maRqapa	Adhikaraṇa-	aDikaraRamaRqapa	True
10847	maRqapa	Keli-	kelimaRqapa	True
10847	maRqapa	Garbha-	garBamaRqapa	True
10847	maRqapa	Paṭa-	pawamaRqapa	True
10847	maRqapa	Latā-	latAmaRqapa	True
10850	maRqala	Ādarśa-	AdarSamaRqala	True
10850	maRqala	Aśrama-	aSramamaRqala	False
10850	maRqala	Kṣmā-tala-	kzmA-talamaRqala	False
10850	maRqala	Tri-maṇḍalā	tri-maRqalA	False
10850	maRqala	Diṅ-maṇḍala	diN-maRqala	False
10850	maRqala	Prakṛti-	prakftimaRqala	True
10850	maRqala	Raṅga-	raNgamaRqala	False
10850	maRqala	Sūrya-	sUryamaRqala	True
10850	maRqala	Stana-	stanamaRqala	True
10853	maRqUka	Kūpa-	kUpamaRqUka	True
10859	mati	A-	amati	True
10859	mati	Eka-	ekamati	True
10859	mati	Kṛta-	kftamati	True
10859	mati	Durm˚	durm˚	False
10859	mati	Nindita-	ninditamati	False
10859	mati	Nirahaṃmati	nirahaMmati	True
10859	mati	Pratyut-panna-	pratyut-pannamati	False
10859	mati	Bahu-	bahumati	True
10859	mati	Manda-	mandamati	True
10859	mati	Mahā-	mahAmati	True
10859	mati	Yathā-mati	yaTA-mati	False
10859	mati	Vi-	vimati	True
10859	mati	Vidyamāna-	vidyamAnamati	True
10859	mati	Vipula-	vipulamati	True
10859	mati	Vṛthā-	vfTAmati	True
10859	mati	Su-	sumati	True
10864	matsara	Nirm˚	nirm˚	False
10864	matsara	Vīta-	vItamatsara	True
10864	matsara	Sa-	samatsara	True
10866	matsya	Pāka-	pAkamatsya	True
10871	maTana	Pura-	puramaTana	True
10871	maTana	Maḍhu-	maQumaTana	False
10874	mad	Mṛta-	mftamad	False
10876	mada	Durm˚	durm˚	False
10876	mada	Dhana-	Danamada	True
10876	mada	Nirm˚	nirm˚	False
10876	mada	Mahā-	mahAmada	True
10876	mada	Mṛga-	mfgamada	True
10876	mada	Rati-madā	rati-madA	False
10876	mada	Viśva-madā	viSva-madA	False
10876	mada	Sa-	samada	True
10876	mada	Sadā-	sadAmada	True
10876	mada	Su-	sumada	True
10878	madana	Un-madana	un-madana	False
10887	madgu	Kāka-	kAkamadgu	True
10893	maDu	Tri-	trimaDu	True
10903	maDura	Vāṅmadhura	vANmaDura	True
10910	maDya	Tanu-	tanumaDya	True
10910	maDya	Bhuja-	BujamaDya	True
10911	maDyaga	Bahu-	bahumaDyaga	True
10913	maDyandina	Ati-	atimaDyandina	True
10914	maDyama	Yava-	yavamaDyama	True
10914	maDyama	Su-	sumaDyama	True
10920	man	Bahu-	bahuman	False
10920	man	Sādhu-	sADuman	False
10920	man	Su	su	True
10922	manas	Anya-	anyamanas	True
10922	manas	Ud-	udmanas	False
10922	manas	Eka-	ekamanas	True
10922	manas	Durm˚	durm˚	False
10922	manas	Dvexhimanas	dvexhimanas	False
10922	manas	Pra-	pramanas	True
10922	manas	Prīti-	prItimanas	True
10922	manas	Mahā-	mahAmanas	True
10922	manas	Vaktumanas	vaktumanas	True
10922	manas	Vi-	vimanas	True
10922	manas	Śaṅkita-	SaNkitamanas	True
10922	manas	Sa-	samanas	True
10922	manas	Su-	sumanas	True
10922	manas	Su-sthita-	su-sTitamanas	False
10922	manas	Sthira-	sTiramanas	True
10928	manAk	A-	amanAk	True
10931	manIzA	Ku-maniṣa	ku-maniza	False
10933	manIzin	Ka-	kamanIzin	False
10935	manuja	Nis-	nismanuja	False
10936	manuzya	A-	amanuzya	True
10936	manuzya	Ati-	atimanuzya	True
10936	manuzya	Durm˚	durm˚	False
10936	manuzya	Nirm˚	nirm˚	False
10944	manohara	Su-	sumanohara	True
10946	mantu	Tri-	trimantu	True
10949	mantr	Durm˚	durm˚	False
10949	mantr	Su-	sumantr	False
10950	mantra	A-	amantra	True
10950	mantra	Ākṛṣṭi-	Akfzwimantra	True
10950	mantra	Durm˚	durm˚	False
10950	mantra	Nirm˚	nirm˚	False
10950	mantra	Viṣa-	vizamantra	True
10951	mantrajYa	Su-	sumantrajYa	True
10955	mantravid	A-	amantravid	True
10957	mantritA	Sa-mantritva	sa-mantritva	False
10958	mantrin	Durm˚	durm˚	False
10958	mantrin	Pradhāna-	praDAnamantrin	True
10958	mantrin	Mahā-	mahAmantrin	True
10961	manTa	Maṇi-	maRimanTa	True
10963	manTana	Amṛta-	amftamanTana	True
10967	manTin	Ūrdhva-	UrDvamanTin	True
10969	manda	Picu-	picumanda	True
10979	mandAra	Kṛta-	kftamandAra	True
10982	mandira	Avaskara-	avaskaramandira	True
10982	mandira	Keli-	kelimandira	True
10982	mandira	Jala-yantra-	jala-yantramandira	False
10984	mandra	Ā-	Amandra	True
10990	manyu	Abhi-	aBimanyu	True
10990	manyu	Aki-	akimanyu	False
10990	manyu	Vita-	vitamanyu	False
10990	manyu	Sa-	samanyu	True
11000	mayUKa	Unm˚	unm˚	False
11000	mayUKa	Śīta-	SItamayUKa	True
11005	maraRa	Ā-maraṇa + m	A-maraRa + m	False
11005	maraRa	Saha-	sahamaraRa	True
11027	martya	A-	amartya	True
11029	mardana	Ari-	arimardana	True
11029	mardana	Sarva-kṣatriya-	sarva-kzatriyamardana	False
11034	marman	Antar-	antarmarman	True
11034	marman	Śirom˚	Sirom˚	False
11041	maryAdA	A-maryāda	a-maryAda	False
11041	maryAdA	Agni-sākṣika-	agni-sAkzikamaryAdA	False
11041	maryAdA	An-apa-īkṣita-	an-apa-IkzitamaryAdA	False
11041	maryAdA	Durm˚	durm˚	False
11041	maryAdA	Nirm˚	nirm˚	False
11041	maryAdA	Bhinna-	BinnamaryAdA	False
11041	maryAdA	Sa-	samaryAdA	True
11044	marza	A-	amarza	True
11044	marza	Nis-a-	nis-amarza	False
11044	marza	Sāmarṣa	sAmarza	True
11045	marzaRa	A-	amarzaRa	True
11045	marzaRa	Agha-	aGamarzaRa	True
11045	marzaRa	Durm˚	durm˚	False
11047	mala	A-	amala	True
11047	mala	Kāṃsya-	kAMsyamala	True
11047	mala	Nirm˚	nirm˚	False
11047	mala	Bahu-	bahumala	True
11047	mala	Vi-	vimala	True
11047	mala	Śānta-	SAntamala	True
11047	mala	Sa-	samala	True
11053	malina	A-	amalina	True
11058	malla	Hastimalla	hastimalla	True
11058	malla	Gaṇeśa	gaReSa	True
11061	malli	Madhu-mallī	maDu-mallI	False
11061	malli	Raṅga-mallī	raNga-mallI	False
11065	maSaka	Daṃśa-	daMSamaSaka	True
11083	mastaka	Madhu-	maDumastaka	True
11088	maha	Dhanurmaha	Danurmaha	True
11090	mahant	Vi-	vimahant	True
11090	mahant	Su-	sumahant	True
11094	mahas	Pīyūṣa-	pIyUzamahas	True
11094	mahas	Mitra-	mitramahas	True
11094	mahas	Vi-	vimahas	True
11106	mahiman	A-kṛta-tyāga-	a-kfta-tyAgamahiman	False
11106	mahiman	A-mogha-	a-moGamahiman	False
11108	mahiza	Agra-	agramahiza	False
11111	mahIDara	Sa-mahī-dhara	sa-mahI-Dara	False
11119	mA	A-	amA	True
11122	mAMsa	Adhi-	aDimAMsa	True
11122	mAMsa	Danta-	dantamAMsa	True
11122	mAMsa	Nirm˚	nirm˚	False
11122	mAMsa	Pūti-	pUtimAMsa	True
11122	mAMsa	Pṛṣṭha-	pfzWamAMsa	True
11122	mAMsa	Mahā-	mahAmAMsa	True
11122	mAMsa	Vṛthā-	vfTAmAMsa	True
11161	mAtf	Go-	gomAtf	True
11161	mAtf	Jaganmātṛ	jaganmAtf	True
11161	mAtf	Nāga-	nAgamAtf	True
11161	mAtf	Raṅga-	raNgamAtf	True
11161	mAtf	Vi-	vimAtf	True
11161	mAtf	Veda-	vedamAtf	True
11161	mAtf	Śāṇḍilī-	SARqilImAtf	True
11162	mAtfka	Deva-mātṛ + ka	deva-mAtf + ka	False
11162	mAtfka	Raṅga-	raNgamAtfka	False
11166	mAtra	Akṣa-	akzamAtra	True
11166	mAtra	Aṅgula-	aNgulamAtra	True
11166	mAtra	Ati-	atimAtra	True
11166	mAtra	Artha-	arTamAtra	True
11166	mAtra	Ātma(n)-	Atma(n)mAtra	False
11166	mAtra	Etāvanmātra	etAvanmAtra	True
11166	mAtra	Kiyanmātra	kiyanmAtra	True
11166	mAtra	Krośa-	kroSamAtra	False
11166	mAtra	Kṣaṇa-mātra + m	kzaRa-mAtra + m	False
11166	mAtra	Jāta-	jAtamAtra	True
11166	mAtra	Jāti-	jAtimAtra	True
11166	mAtra	Jīva-	jIvamAtra	False
11166	mAtra	Tanmātra	tanmAtra	True
11166	mAtra	Tāla-mātra + m	tAla-mAtra + m	False
11166	mAtra	Tāvanmātra	tAvanmAtra	True
11166	mAtra	Darśana-	darSanamAtra	False
11166	mAtra	Dhyāta	DyAta	True
11166	mAtra	Naga-	nagamAtra	False
11166	mAtra	Nāma(n)-	nAma(n)mAtra	False
11166	mAtra	Padāti-	padAtimAtra	True
11166	mAtra	Pāpa-kṣaya-	pApa-kzayamAtra	False
11166	mAtra	Prāṇa-dhāraṇa-	prARa-DAraRamAtra	False
11166	mAtra	Bali-	balimAtra	True
11166	mAtra	Mahā-	mahAmAtra	True
11166	mAtra	Mūrta-	mUrtamAtra	True
11166	mAtra	Mūrti-	mUrtimAtra	False
11166	mAtra	Yuga-	yugamAtra	True
11166	mAtra	Varṣa-	varzamAtra	True
11166	mAtra	Vāṅmātra	vANmAtra	True
11166	mAtra	Rūpa-	rUpamAtra	True
11166	mAtra	Vārttā-	vArttAmAtra	True
11166	mAtra	Vitta-	vittamAtra	False
11166	mAtra	Śabda-	SabdamAtra	True
11166	mAtra	Śarīra-	SarIramAtra	True
11166	mAtra	Samādhāna-	samADAnamAtra	True
11166	mAtra	Saṃkṣepa-	saMkzepamAtra	True
11166	mAtra	Smṛta-	smftamAtra	True
11166	mAtra	Hastimātra	hastimAtra	True
11169	mAtsarya	Pus-	pusmAtsarya	False
11179	mADava	Latā-mādhavī	latA-mADavI	False
11184	mADurya	Bhrūkṣepālāpa-	BrUkzepAlApamADurya	True
11193	mAna	Ati-	atimAna	True
11193	mAna	A-bhagna-māna + m	a-Bagna-mAna + m	False
11193	mAna	Nirm˚	nirm˚	False
11193	mAna	Praṇaya-	praRayamAna	True
11193	mAna	Bahu-	bahumAna	True
11193	mAna	Māsa-	mAsamAna	True
11193	mAna	Sa-bahu-māna + m	sa-bahu-mAna + m	False
11197	mAnava	Kapaṭa-	kapawamAnava	False
11197	mAnava	Daṇḍa-	daRqamAnava	True
11200	mAnasa	Anya-	anyamAnasa	True
11200	mAnasa	An-anya-	an-anyamAnasa	False
11200	mAnasa	Pūrṇa-	pUrRamAnasa	True
11200	mAnasa	Hṛṣṭa-	hfzwamAnasa	True
11202	mAnin	A-	amAnin	True
11202	mAnin	Ati-	atimAnin	True
11202	mAnin	A-stena-	a-stenamAnin	False
11202	mAnin	Dhṛṣṭa-	DfzwamAnin	True
11202	mAnin	Paṇḍita-	paRqitamAnin	True
