OrigL	AssignedL
2009.XYZ	2009.002
2009.XYZ	2009.004
2010.XYZ	2010.002
2010.XYZ	2010.004
2012.XYZ	2012.002
2012.XYZ	2012.004
2030.XYZ	2030.002
2030.XYZ	2030.004
2030.XYZ	2030.006
2030.XYZ	2030.008
2030.XYZ	2030.010
2030.XYZ	2030.012
2030.XYZ	2030.014
2030.XYZ	2030.016
2030.XYZ	2030.018
2033.XYZ	2033.002
2033.XYZ	2033.004
2033.XYZ	2033.006
2033.XYZ	2033.008
2033.XYZ	2033.010
2033.XYZ	2033.012
2033.XYZ	2033.014
2033.XYZ	2033.016
2033.XYZ	2033.018
2033.XYZ	2033.020
2033.XYZ	2033.022
2033.XYZ	2033.024
2033.XYZ	2033.026
2047.XYZ	2047.002
2047.XYZ	2047.004
2054.XYZ	2054.002
2057.XYZ	2057.002
2062.XYZ	2062.002
2067.XYZ	2067.002
2069.XYZ	2069.002
2077.XYZ	2077.002
2080.XYZ	2080.002
2083.XYZ	2083.002
2083.XYZ	2083.004
2083.XYZ	2083.006
2083.XYZ	2083.008
2083.XYZ	2083.010
2083.XYZ	2083.012
2086.XYZ	2086.002
2086.XYZ	2086.004
2086.XYZ	2086.006
2087.XYZ	2087.002
2088.XYZ	2088.002
2089.XYZ	2089.002
2093.XYZ	2093.002
2093.XYZ	2093.004
2093.XYZ	2093.006
2093.XYZ	2093.008
2093.XYZ	2093.010
2093.XYZ	2093.012
2093.XYZ	2093.014
2098.XYZ	2098.002
2098.XYZ	2098.004
2098.XYZ	2098.006
2102.XYZ	2102.002
2102.XYZ	2102.004
2102.XYZ	2102.006
2102.XYZ	2102.008
2102.XYZ	2102.010
2102.XYZ	2102.012
2105.XYZ	2105.002
2105.XYZ	2105.004
2105.XYZ	2105.006
2105.XYZ	2105.008
2105.XYZ	2105.010
2105.XYZ	2105.012
2105.XYZ	2105.014
2105.XYZ	2105.016
2105.XYZ	2105.018
2107.XYZ	2107.002
2108.XYZ	2108.002
2108.XYZ	2108.004
2108.XYZ	2108.006
2108.XYZ	2108.008
2113.XYZ	2113.002
2134.XYZ	2134.002
2138.XYZ	2138.002
2138.XYZ	2138.004
2138.XYZ	2138.006
2143.XYZ	2143.002
2146.XYZ	2146.002
2146.XYZ	2146.004
2146.XYZ	2146.006
2152.XYZ	2152.002
2152.XYZ	2152.004
2152.XYZ	2152.006
2152.XYZ	2152.008
2152.XYZ	2152.010
2152.XYZ	2152.012
2160.XYZ	2160.002
2162.XYZ	2162.002
2162.XYZ	2162.004
2162.XYZ	2162.006
2162.XYZ	2162.008
2164.XYZ	2164.002
2166.XYZ	2166.002
2166.XYZ	2166.004
2166.XYZ	2166.006
2168.XYZ	2168.002
2171.XYZ	2171.002
2171.XYZ	2171.004
2171.XYZ	2171.006
2175.XYZ	2175.002
2178.XYZ	2178.002
2178.XYZ	2178.004
2178.XYZ	2178.006
2186.XYZ	2186.002
2189.XYZ	2189.002
2193.XYZ	2193.002
2199.XYZ	2199.002
2199.XYZ	2199.004
2211.XYZ	2211.002
2211.XYZ	2211.004
2214.XYZ	2214.002
2215.XYZ	2215.002
2216.XYZ	2216.002
2221.XYZ	2221.002
2229.XYZ	2229.002
2243.XYZ	2243.002
2243.XYZ	2243.004
2254.XYZ	2254.002
2254.XYZ	2254.004
2254.XYZ	2254.006
2255.XYZ	2255.002
2263.XYZ	2263.002
2263.XYZ	2263.004
2263.XYZ	2263.006
2269.XYZ	2269.002
2273.XYZ	2273.002
2276.XYZ	2276.002
2276.XYZ	2276.004
2288.XYZ	2288.002
2298.XYZ	2298.002
