Lnum	basehw	compound	resolution
13894	vftti	A-vyāpya-	avyApyavftti
13894	vftti	Uñcha-	uYCavftti
13894	vftti	Evam-	evamvftti
13894	vftti	Garva-	garvavftti
13894	vftti	Citta-	cittavftti
13894	vftti	Jyeṣṭha-	jyezWavftti
13894	vftti	A-jyeṣṭha-	ajyezWavftti
13894	vftti	Tad-vṛtti	tadvftti
13894	vftti	Tamas-	tamasvftti
13894	vftti	Dus-	durvftti
13894	vftti	Dyūta-	dyUtavftti
13894	vftti	Dhairya-	DEryavftti
13894	vftti	Pataṅga-	pataNgavftti
13894	vftti	Para-adhīna-	parADInavftti
13894	vftti	Parokṣa-	parokzavftti
13894	vftti	Pratikūla-	pratikUlavftti
13894	vftti	Bhāgya-	BAgyavftti
13894	vftti	Vaka-	vakavftti
13894	vftti	Vāgurā-	vAgurAvftti
13894	vftti	Vaiśya-	vESyavftti
13894	vftti	Śīla-	SIlavftti
13894	vftti	Śvavṛtti	Svavftti
13894	vftti	Sama-	samavftti
13894	vftti	Sādhu-	sADuvftti
13894	vftti	Sva-	svavftti
13895	vfttitA	An-āyatta-vṛttitā	anAyattavfttitA
13902	vfdDa	Kula-	kulavfdDa
13902	vfdDa	Vayas-	vayasvfdDa
13902	vfdDa	Vidyā-vayas-	vidyAvayasvfdDa
13902	vfdDa	Sa-bāla-	sabAlavfdDa
13904	vfdDi	Kāla-	kAlavfdDi
13904	vfdDi	Kusīda-	kusIdavfdDi
13904	vfdDi	Cakra-	cakravfdDi
13906	vfD	Tapov˚	tapov˚
13908	vfnta	Tāla-	tAlavfnta
13908	vfnta	Dīrgha-	dIrGavfnta
13908	vfnta	Stana-	stanavfnta
13910	vfnda	Eka-	ekavfnda
13916	vfScika	Patra-	patravfScika
13918	vfza	Kṣmā-	kzmAvfza
13918	vfza	Go-	govfza
13918	vfza	Nis-	nirvfza
13921	vfzaRa	Tikṣṇa-	tikzRavfzaRa
13924	vfzaBa	Go-	govfzaBa
13924	vfzaBa	Nara-vara-	naravaravfzaBa
13930	vfzwi	A-	avfzwi
13930	vfzwi	Prājya-	prAjyavfzwi
13930	vfzwi	Śilā-	SilAvfzwi
13940	vega	Caṇḍa-	caRqavega
13940	vega	Nis-	nirvega
13940	vega	Mahā-	mahAvega
13940	vega	Viṣa-	vizavega
13940	vega	Sa-vega + m	savegam
13948	veRa	Kṛṣṇa-	kfzRaveRa
13949	veRi	Eka-venī̆	ekavenĬ
13949	veRi	Puṣpa-veṇī	puzpaveRI
13949	veRi	Pra-veṇī̆	praveRĬ
13950	veRu	Tri-	triveRu
13953	vetana	Ubhaya-	uBayavetana
13953	vetana	Kṛta-	kftavetana
13953	vetana	Nis-	nirvetana
13964	veda	A-	aveda
13964	veda	Āyurveda	Ayurveda
13964	veda	Kṣatra-	kzatraveda
13964	veda	Gandharva-	ganDarvaveda
13964	veda	Catur-	caturveda
13964	veda	Tri-	triveda
13964	veda	Dus-	durveda
13964	veda	Dhanurveda	Danurveda
13964	veda	Pari-	pariveda
13965	vedana	Prasava-	prasavavedana
13967	vedas	Viśva-	viSvavedas
13967	vedas	Sarva-	sarvavedas
13973	vedi	Uttara-vedi	uttaravedi
13973	vedi	Ud-vedi	udvedi
13973	vedi	Vahis-vedi	vahirvedi
13976	vedin	Kanyā-	kanyAvedin
13976	vedin	Karuṇa-	karuRavedin
13976	vedin	Gambhīra-	gamBIravedin
13976	vedin	Nīti-	nItivedin
13976	vedin	Puruṣa-antara-	puruzAntaravedin
13980	veDana	Dṛḍha-	dfQaveDana
13982	veDin	Koṭi-	kowiveDin
13982	veDin	Śabda-	SabdaveDin
13982	veDin	Śīghra-	SIGraveDin
13986	vepaTu	Ati-	ativepaTu
13988	vepaTumant	Ati-	ativepaTumant
13991	vema	Su-vema	suvema
13995	vela	Ati-vela + m	ativelam
13995	vela	Anu-vela + m	anuvelam
13995	vela	Ud-vela	udvela
13995	vela	Toya-velā	toyavelA
13995	vela	Mahā-vela	mahAvela
13999	veSa	Agni-	agniveSa
13999	veSa	Abhisaraṇa-	aBisaraRaveSa
13999	veSa	Ārya-	AryaveSa
13999	veSa	Kapaṭa-yuvati-	kapawayuvativeSa
13999	veSa	Kṛta-	kftaveSa
13999	veSa	Puṃveśa	puMveSa
13999	veSa	Śṛṅgāra-	SfNgAraveSa
13999	veSa	Sa-	saveSa
14002	veSin	Sarva-	sarvaveSin
14003	veSman	Krīḍā-	krIqAveSman
14003	veSman	Jatu-	jatuveSman
14003	veSman	Pāyu-kṣālana-	pAyukzAlanaveSman
14003	veSman	Bandhana-	banDanaveSman
14003	veSman	Vāsa-	vAsaveSman
14003	veSman	Śmaśāna-	SmaSAnaveSman
14007	vezwa	Karṇa-	karRavezwa
14007	vezwa	Danta-	dantavezwa
14007	vezwa	Patra-	patravezwa
14008	vezwaka	Danta-	dantavezwaka
14009	vezwana	Ud-	udvezwana
14029	vEklavya	Sa-vaiklavya + m	savEklavyam
14032	vEcakzaRya	Ati-	ativEcakzaRya
14046	vEtaMsika	Dyūta-	dyUtavEtaMsika
14055	vEdarBa	Danta-	dantavEdarBa
14064	vEdya	Viṣa-	vizavEdya
14064	vEdya	Svar-	svarvEdya
14072	vEDavya	A-	avEDavya
14072	vEDavya	Bāla-	bAlavEDavya
14096	vEyAkaraRa	Prathama-	praTamavEyAkaraRa
14100	vEra	Nis-	nirvEra
14104	vErAgya	Sa-vairāgya + m	savErAgyam
14109	vErin	Dṛḍha-	dfQavErin
14109	vErin	Pūrva-	pUrvavErin
14114	vElakzya	Sa-	savElakzya
14134	vEzamya	Ati-	ativEzamya
14144	voQf	Dhūrvoḍhṛ	DUrvoQf
14151	vyakti	A-sakala-	asakalavyakti
14152	vyagra	A-	avyagra
14155	vyaNga	A-	avyaNga
14161	vyajana	Bāla-	bAlavyajana
14163	vyaYjana	A-	avyaYjana
14163	vyaYjana	A-jāta-	ajAtavyaYjana
14163	vyaYjana	Nis-	nirvyaYjana
14164	vyatikara	Dṛṣṭa-	dfzwavyatikara
14164	vyatikara	Vārtā-	vArtAvyatikara
14177	vyaTA	A-vyatha	avyaTa
14177	vyaTA	Guru-	guruvyaTA
14177	vyaTA	Nirvyatha	nirvyaTa
14177	vyaTA	Sa-	savyaTA
14178	vyaD	Su-	suvyaD
14178	vyaD	An-	anvyaD
14189	vyapekzA	Nirvyapekṣa	nirvyapekza
14189	vyapekzA	Sa-	savyapekzA
14190	vyaBicAra	Sa-	savyaBicAra
14193	vyaBicAritva	Svatva-	svatvavyaBicAritva
14194	vyaBicArin	A-	avyaBicArin
14197	vyaya	A-	avyaya
14197	vyaya	Ati-	ativyaya
14197	vyaya	Bhojana-	Bojanavyaya
14197	vyaya	Su-alpa-	svalpavyaya
14201	vyalIka	Nis-	nirvyalIka
14209	vyavasAyin	A-	avyavasAyin
14210	vyavasTA	A-vyavastha	avyavasTa
14215	vyavahAra	Yathā-vyavahāra + m	yaTAvyavahAram
14224	vyasana	Āyudha-	AyuDavyasana
14224	vyasana	Nau-	nOvyasana
14224	vyasana	Bala-	balavyasana
14224	vyasana	Mūla-	mUlavyasana
14226	vyasanin	A-	avyasanin
14226	vyasanin	Mānotsehaparākrama-	mAnotsehaparAkramavyasanin
14226	vyasanin	Sūta-	sUtavyasanin
14228	vyAkaraRa	Garbha-	garBavyAkaraRa
14228	vyAkaraRa	Garbhiṇī-	garBiRIvyAkaraRa
14230	vyAkulatA	Nirvyākulatā	nirvyAkulatA
14240	vyAGra	Nis-	nirvyAGra
14241	vyAja	Nis-	nirvyAja
14241	vyAja	Sa-vyāja	savyAja
14247	vyADa	Dharma-	DarmavyADa
14247	vyADa	Mṛga-	mfgavyADa
14250	vyADi	Nis-	nirvyADi
14257	vyApad	Viraha-	virahavyApad
14261	vyApAra	A-	avyApAra
14261	vyApAra	Kim-	kimvyApAra
14261	vyApAra	Dṛgvyāpāra	dfgvyApAra
14261	vyApAra	Nis-	nirvyApAra
14261	vyApAra	Vāgvy˚	vAgvy˚
14290	vyucCettf	A-	avyucCettf
14304	vyUha	Garbha-	garBavyUha
14304	vyUha	Cakra-	cakravyUha
14304	vyUha	Daṇḍa-	daRqavyUha
14304	vyUha	Maṇḍala-	maRqalavyUha
14306	vye	Yajña-	yajYavye
14306	vye	Su-	suvye
14310	vraj	Dus-	durvraj
14311	vraja	Go-	govraja
14311	vraja	Netra-	netravraja
14316	vraRa	A-	avraRa
14316	vraRa	A-kṛta-	akftavraRa
14316	vraRa	Nis-	nirvraRa
14316	vraRa	Vi-stārita-bahu-	vistAritabahuvraRa
14318	vrata	A-	avrata
14318	vrata	Arka-	arkavrata
14318	vrata	Asi-dhārā-	asiDArAvrata
14318	vrata	Ārya-	Aryavrata
14318	vrata	Indu-	induvrata
14318	vrata	Indra-	indravrata
14318	vrata	Go-	govrata
14318	vrata	Gaurī-	gOrIvrata
14318	vrata	Daṇḍa-	daRqavrata
14318	vrata	Dṛḍha-	dfQavrata
14318	vrata	Deva-	devavrata
14318	vrata	Dhṛta-	Dftavrata
14318	vrata	Niyama-	niyamavrata
14318	vrata	Nis-	nirvrata
14318	vrata	Pati-	pativrata
14318	vrata	Payovrata	payovrata
14318	vrata	Brahmavrata	brahmavrata
14318	vrata	Madhu-	maDuvrata
14318	vrata	Mahā-	mahAvrata
14318	vrata	Māruta-	mArutavrata
14318	vrata	Mauna-	mOnavrata
14318	vrata	Yata-	yatavrata
14318	vrata	Yama-	yamavrata
14318	vrata	Rahasya-	rahasyavrata
14318	vrata	Vipula-	vipulavrata
14318	vrata	Sam-śita-	samSitavrata
14318	vrata	Satya-	satyavrata
14318	vrata	Su-	suvrata
14318	vrata	Stuti-	stutivrata
14322	vratin	Go-	govratin
14322	vratin	Deva-	devavratin
14322	vratin	Mahā-	mahAvratin
14322	vratin	Vaka-	vakavratin
14327	vrAta	Vṛṣavrāta	vfzavrAta
14332	vrIqa	Sa-	savrIqa
14344	SaMs	A-śasta	aSasta
14349	Sak	A-	aSak
14352	Sakawa	Rohiṇī-	rohiRISakawa
14354	SakawikA	Mṛcchakatikā	mfcCakatikA
14359	Sakuna	A-	aSakuna
14363	SakuntalA	Abhijñāna-	aBijYAnaSakuntalA
14368	Sakti	A-	aSakti
14368	Sakti	Ananta-, Amara-, Ugra-, Deva-	ananta, amara, ugra, devaSakti
14368	Sakti	Ātmaśakti	AtmaSakti
14368	Sakti	Yathā-	yaTASakti
14368	Sakti	Rati-	ratiSakti
14368	Sakti	Śiva-	SivaSakti
14373	Saktu	Dadhi-	daDiSaktu
14375	Sakra	Ati-	atiSakra
14379	SaNk	Nitya-	nityaSaNk
14381	SaNkA	A-śaṅka	aSaNka
14381	SaNkA	Nis-śaṅka	nisSaNka
14381	SaNkA	Vita-	vitaSaNkA
14381	SaNkA	Sa-	saSaNkA
14383	SaNku	Tri-	triSaNku
14383	SaNku	Danta-	dantaSaNku
14383	SaNku	Loha-	lohaSaNku
14386	SaNKa	Mahā-	mahASaNKa
14386	SaNKa	Sa-	saSaNKa
14386	SaNKa	Saṃdhyā-	saMDyASaNKa
14386	SaNKa	Sthūla-	sTUlaSaNKa
14386	SaNKa	Hema-	hemaSaNKa
14399	SaWa	A-	aSaWa
14399	SaWa	Danta-	dantaSaWa
14407	Sata	Adhyardha-	aDyarDaSata
14407	Sata	Ardha-	arDaSata
14407	Sata	Aṣṭaśata	azwaSata
14407	Sata	Eka-	ekaSata
14407	Sata	Tāvacchata	tAvacCata
14407	Sata	Tri-	triSata
